Image,Bbox,Confidence
20301403_12,"[[    0.94201      0.4227     0.11597     0.12599]
 [    0.93078     0.16793     0.13844     0.17283]
 [    0.60712     0.28293     0.39182     0.27172]]",[    0.71972     0.67655     0.66537]
20301403_22,[],[]
20301414_04,"[[    0.45584     0.56975     0.34405     0.21954]
 [    0.08919     0.53335     0.17838      0.3108]
 [    0.69125     0.85029    0.058696     0.06976]]",[     0.6691     0.65577     0.40645]
20301414_07,"[[     0.2005     0.35298     0.35946     0.29469]
 [    0.53924      0.3448     0.31665      0.2902]]",[    0.81653      0.7902]
20301414_16,"[[    0.19914     0.37293     0.26683     0.29478]
 [    0.79369     0.54236     0.38826     0.22229]
 [    0.58896     0.53999     0.37817     0.23157]]",[    0.81891     0.77378     0.75585]
20301414_30,"[[    0.36347     0.57499     0.17668     0.15098]
 [    0.12978     0.68775     0.25083    0.075329]]",[    0.86397     0.75076]
20301414_34,"[[    0.58659     0.28042    0.098217    0.055692]
 [    0.22212     0.37669     0.24113     0.12818]
 [    0.53002     0.36093     0.37507     0.10349]]",[     0.7346      0.7219     0.44264]
20301414_62,"[[   0.086026     0.43594     0.17191     0.11485]
 [    0.58052     0.51829     0.38791     0.24219]
 [    0.68887     0.71237    0.065865    0.060324]
 [    0.76469     0.70444    0.062675    0.058048]]",[    0.92216     0.76945     0.70033     0.46631]
20301414_65,"[[    0.59762     0.42623     0.38733     0.23609]
 [   0.057243     0.59553     0.11449    0.086227]
 [    0.32942     0.61796     0.26221    0.073025]
 [    0.90295      0.5362      0.1941    0.076592]
 [    0.62506     0.61266     0.34596     0.06675]
 [    0.36156     0.46112     0.38249     0.19382]]",[    0.69599     0.67523       0.575     0.54213     0.51343     0.48686]
20321023_15,"[[    0.50745     0.37246     0.16836     0.07831]
 [     0.9338     0.40209     0.13221    0.077414]
 [    0.75065     0.42533     0.14736    0.034639]
 [    0.32806     0.38449     0.16538    0.066868]
 [    0.83172     0.36004    0.081486    0.064581]]",[    0.79722     0.71273      0.5262     0.46312     0.39921]
2033,"[[     0.3282     0.22616     0.15012    0.064796]
 [    0.80555     0.40364     0.13603    0.053991]
 [    0.31842     0.13127      0.1403    0.057854]
 [    0.20211     0.22913     0.10683    0.057026]
 [    0.23643     0.40103     0.19204    0.060975]
 [    0.42269      0.2899     0.15854    0.045167]
 [    0.26357     0.45761     0.13437    0.055001]
 [    0.72675      0.2915     0.25949    0.063945]
 [   0.040644     0.44575    0.061124    0.040719]
 [     0.6237     0.45709    0.074193    0.037884]
 [    0.16639     0.45932    0.063726    0.048234]
 [    0.97951     0.44458    0.040985    0.083995]
 [    0.77672     0.46211    0.087071     0.05073]]",[    0.83121     0.82838     0.81667     0.78525      0.7825     0.77769     0.77346     0.76259     0.67869     0.64358     0.56989     0.45121     0.39639]
2045,"[[    0.47568     0.30152     0.28119     0.10093]
 [    0.21211     0.27111     0.24359     0.10622]
 [     0.2124     0.37621      0.1833      0.1037]
 [    0.81675     0.36544     0.13306     0.19636]
 [    0.82577     0.97247    0.083103    0.042636]
 [    0.94524     0.23702     0.10952     0.13162]]",[    0.90241     0.88326     0.55815     0.52831     0.46828     0.40253]
2054,"[[    0.20847     0.36606      0.2748     0.18229]
 [    0.51876     0.71549     0.37897     0.19647]
 [    0.15823     0.79716    0.089029    0.068957]
 [   0.026996    0.088129    0.053992     0.15882]
 [     0.2083     0.59065     0.22542    0.058176]]",[    0.83256     0.81884     0.53397     0.50388     0.48238]
2061,[[    0.39231     0.27994     0.32846    0.080225]],[    0.71143]
2075,"[[     0.4382     0.54777     0.12413    0.050297]
 [    0.44273     0.36019     0.17194    0.081555]
 [    0.21225      0.3876     0.28804    0.081312]
 [    0.21916     0.54922     0.30254    0.047875]
 [    0.79708     0.48189     0.17257    0.056427]
 [    0.81902     0.64098    0.058281    0.067694]
 [   0.026031    0.075523     0.05199     0.15105]]",[    0.79781     0.77164     0.76647     0.74288     0.57405     0.50672     0.43984]
2081,"[[    0.66227     0.29745     0.20316     0.15423]
 [    0.45906     0.44088     0.16956     0.08976]
 [    0.28282     0.43362     0.17388     0.10269]
 [    0.10902     0.43229     0.17599     0.10014]
 [     0.8057     0.44701     0.18116    0.090937]]",[     0.8598     0.84841      0.7816     0.74624     0.72922]
2084,"[[    0.45243     0.35048    0.065758    0.048462]
 [     0.6154     0.48487    0.098268    0.072977]
 [    0.49185     0.49108    0.073859     0.05001]
 [    0.84383     0.48726    0.079264    0.051308]
 [   0.059714     0.06471     0.11939     0.11284]
 [    0.22818     0.48962    0.090016     0.04785]
 [    0.42235     0.49439    0.061292    0.045698]
 [    0.96031     0.48723    0.073538    0.046817]
 [   0.074912      0.3067     0.11309    0.068064]
 [   0.050415     0.47279     0.10054    0.084081]
 [    0.41122     0.23081    0.063763     0.04035]]",[    0.82279     0.77687     0.77222     0.77121       0.771     0.76603     0.70231     0.59075     0.58668     0.48863     0.45843]
21,"[[    0.64317     0.24542     0.37945     0.10273]
 [    0.23569     0.26074     0.24852    0.077442]]",[     0.8192     0.49591]
21101127_02,"[[    0.60921     0.34143     0.37954     0.20421]
 [    0.63857     0.78144     0.25741     0.24437]
 [    0.14998     0.85903     0.14288    0.064529]
 [    0.36766     0.34551     0.37409     0.19518]]",[    0.80407     0.76334     0.70314     0.40674]
21101127_15,"[[    0.78354     0.72122     0.11937    0.078571]
 [    0.69208     0.35685     0.38884     0.32034]
 [      0.768     0.79919     0.14748    0.075848]
 [    0.34419      0.7578     0.17841    0.064144]]",[    0.78525     0.73696     0.66413     0.52901]
21101127_21,"[[     0.8745     0.54041       0.251     0.11669]
 [    0.55317      0.5453     0.38698     0.13654]]",[     0.7836     0.76436]
21101135_03JPG,"[[    0.76703      0.4708     0.39212     0.39844]
 [    0.43417     0.26813     0.38703     0.38218]]",[    0.54167     0.43783]
21101135_36,"[[    0.48464      0.6336     0.36891     0.38816]
 [     0.5728     0.57167     0.39073     0.39968]]",[    0.57955     0.51883]
21101135_39,"[[    0.37202     0.51652     0.26545     0.22054]
 [   0.074519     0.68344     0.14904    0.084319]]",[    0.83085     0.77665]
21101135_44,"[[    0.49347     0.10653     0.26213    0.081079]
 [    0.48795     0.50161     0.30176    0.067467]
 [    0.91796     0.47138     0.13864    0.072265]
 [    0.77434     0.47288     0.14648    0.072654]]",[    0.87882     0.83648      0.8311     0.58189]
21101135_45,"[[    0.35731     0.52307     0.36678     0.29759]
 [    0.71389     0.56191     0.33201     0.22987]]",[    0.79453     0.73366]
21101135_60,[[    0.47128     0.53637      0.3903     0.13802]],[    0.70353]
21101135_61,"[[    0.68407     0.41164     0.38385     0.13279]
 [    0.95226     0.55848    0.095473    0.090122]
 [    0.48993     0.41756     0.37509       0.165]]",[    0.70155     0.68308     0.41891]
21101243_23,"[[    0.15713     0.58036     0.16608    0.056433]
 [    0.72042     0.55733     0.38368    0.062078]
 [    0.35796     0.56469     0.23463    0.060914]
 [    0.27264     0.69933    0.057525     0.12309]]",[    0.74158     0.71323     0.68698     0.65891]
21101243_25,"[[   0.048179     0.50808    0.096357    0.057495]
 [    0.45649     0.51886     0.17384    0.062643]]",[      0.785      0.7616]
21101282_02,"[[    0.70605     0.62156     0.38881     0.10784]
 [    0.31086     0.59344     0.37311     0.23915]]",[    0.79467     0.44761]
21101282_14,"[[    0.10042      0.5322     0.20067    0.080801]
 [    0.86551     0.44802     0.22985    0.068757]
 [    0.51203     0.31106     0.38792     0.13405]
 [    0.12077     0.26799     0.24023     0.20145]]",[    0.85709     0.60544      0.5781     0.56434]
21101312_22,"[[    0.46712     0.39259     0.19021     0.11074]
 [    0.26904     0.40824     0.20346    0.090362]
 [    0.62716     0.35109     0.12803    0.099921]
 [    0.96765     0.45572      0.0647    0.065115]
 [   0.026088      0.3055    0.052072    0.092122]
 [    0.37216     0.16188     0.38366    0.081241]]",[    0.89902     0.82599     0.81758     0.65817     0.58621     0.39197]
21101312_24,"[[    0.70979     0.42229      0.1386    0.081394]
 [    0.87062      0.1966     0.20906    0.063316]
 [    0.48011     0.12556     0.29319     0.25112]
 [    0.46751     0.36666     0.27315    0.072223]
 [    0.83909     0.44785     0.11444     0.04366]
 [    0.71995      0.2542     0.11548    0.049757]
 [    0.97966     0.38541    0.040683    0.061727]
 [    0.70399    0.056939     0.13776      0.0632]
 [    0.55318     0.43408    0.093428    0.058374]
 [    0.92158     0.43963    0.046844    0.052869]]",[    0.81203     0.80873     0.79463     0.76053     0.68554     0.64755     0.56924     0.55727     0.54803     0.44826]
21101312_33,"[[    0.37356     0.44938     0.29058    0.094063]
 [      0.697     0.37495     0.33637     0.12015]
 [    0.15407     0.35295     0.14431    0.086829]
 [    0.14905     0.44104     0.14789    0.093077]
 [    0.93615     0.44141      0.1277    0.083635]
 [    0.69548     0.19094     0.33423     0.24681]
 [    0.82603     0.97249    0.082477    0.043229]
 [    0.69622     0.13033     0.33384     0.12288]]",[    0.85627     0.83869     0.83339     0.82142     0.77453     0.64675     0.53552     0.45872]
21101312_37,"[[    0.60969      0.5444     0.29751     0.16071]
 [   0.040142    0.025578    0.080257    0.051156]
 [    0.12052     0.43862      0.2397     0.12937]
 [    0.23954     0.10963     0.27674     0.19573]]",[    0.91533     0.66751     0.64486     0.63311]
21101312_52,"[[    0.53395     0.52658     0.38492    0.099887]
 [    0.18723     0.52911     0.37446     0.10674]]",[    0.82867     0.41576]
21101312_54,"[[    0.59274     0.65474     0.31654      0.1738]
 [    0.31984      0.8806     0.12188     0.11522]
 [    0.58401     0.46952     0.11714     0.15436]
 [    0.55934      0.9546     0.07952    0.058311]
 [    0.40111     0.60424    0.059762    0.050693]
 [     0.1454     0.52135    0.060397    0.023326]]",[    0.86522     0.78246     0.73822     0.70652      0.4696     0.42498]
21101312_67,"[[    0.88562      0.6145     0.22876     0.19061]
 [   0.036113     0.62512    0.072155    0.082145]
 [    0.57457     0.62551     0.38684     0.21544]
 [    0.58486     0.38782     0.39163     0.17678]
 [   0.023585     0.92082    0.047171     0.12867]]",[    0.81469     0.75491      0.7495     0.57423     0.49915]
21101312_9,"[[    0.70457      0.4158     0.21177     0.11755]
 [      0.461     0.17023     0.30566    0.074534]
 [    0.94595     0.36852    0.062086    0.037698]
 [    0.57816     0.98031    0.085954    0.039389]]",[    0.83879     0.72771     0.49507     0.48681]
2114,"[[    0.33939     0.39887     0.24152     0.08782]
 [    0.67486     0.40751     0.23443    0.073043]
 [   0.072397      0.5319    0.073884    0.061343]
 [    0.97544     0.47457    0.049117    0.061382]
 [    0.34602     0.52599     0.20808    0.080267]]",[     0.8983     0.76968     0.70346     0.59609     0.46488]
21141009_21,"[[    0.44461     0.59286     0.12701      0.1059]
 [     0.5625     0.60399    0.087618     0.07919]
 [    0.63769     0.16041     0.18738     0.21687]
 [    0.60765     0.40599      0.3407     0.14381]]",[    0.68118     0.64581     0.53388     0.44384]
21141009_27,"[[    0.28044     0.50591     0.30846     0.13044]
 [    0.66821     0.43014     0.37998    0.091516]
 [    0.32354     0.81144     0.10902    0.076781]
 [    0.45101     0.82074      0.1298    0.084359]]",[    0.84593     0.74451     0.59441     0.51604]
2118,"[[    0.43579     0.24333     0.12209    0.098944]
 [    0.73863     0.32818       0.115    0.056908]
 [    0.20697     0.25039    0.092422    0.075245]
 [    0.61715     0.32478     0.13001    0.060026]
 [    0.57852     0.98029    0.085181    0.039429]
 [    0.42929     0.32901    0.093985    0.059013]]",[    0.84717     0.82528     0.80609     0.79146     0.53943     0.47423]
21201175_03,"[[    0.27612     0.78367     0.25414     0.10414]
 [    0.81495     0.45445     0.23685     0.13352]
 [    0.49376       0.477     0.38506     0.11382]
 [    0.74844     0.78699     0.38528     0.13034]
 [    0.59166     0.78448     0.37606      0.1336]]",[     0.8636     0.85407     0.82045     0.51218     0.47413]
21201175_10,"[[    0.42893     0.44511     0.37384     0.23892]
 [    0.76448     0.44615     0.28959     0.23517]]",[    0.74914     0.62793]
21201175_25,"[[    0.45717     0.30631     0.38644     0.22698]
 [    0.52049     0.61039     0.38268      0.1066]
 [   0.059534     0.61943     0.11907     0.11145]
 [    0.86693     0.14891     0.17382    0.092469]]",[    0.81713     0.70691     0.67217     0.59925]
21201775_13,"[[    0.16615     0.49524      0.3323     0.18041]
 [    0.78509     0.52223     0.39132     0.36725]]",[    0.51209      0.4998]
21201775_14,"[[   0.030562     0.81503    0.061124    0.085629]
 [    0.96035      0.8287    0.079306    0.078934]]",[    0.52721     0.40456]
21301019_02,"[[    0.40924     0.48496     0.37226     0.25367]
 [     0.5666     0.47366     0.38449     0.25128]]",[    0.80124     0.78823]
21301019_07,"[[    0.66722      0.4567     0.38741     0.18813]
 [    0.29796     0.47758     0.37794      0.1645]
 [   0.029748     0.70183    0.059179      0.1037]
 [    0.90387     0.52919    0.080272    0.034349]]",[    0.77656     0.68981     0.43354      0.4055]
21301019_15,"[[    0.12787     0.66685     0.25574    0.086406]
 [    0.87532       0.678     0.24834     0.10186]
 [    0.55624     0.67774     0.38646     0.10458]
 [    0.44893     0.41726     0.36759    0.096103]
 [    0.56215     0.58164     0.38853    0.043666]]",[     0.7982     0.78288     0.71591     0.48986     0.44461]
21301019_24,"[[    0.50488     0.48939     0.28868     0.11747]
 [    0.19811     0.47319     0.32361     0.15432]]",[     0.8825     0.82249]
21301019_28,"[[    0.71641     0.34579     0.29735     0.11933]
 [    0.94532     0.37178     0.10929    0.091568]
 [    0.36298      0.2779     0.38361     0.13488]
 [    0.72406     0.53068     0.36183    0.072749]]",[    0.87005     0.68921     0.66105     0.47498]
21301027_14,"[[    0.95677     0.92227    0.086455     0.15546]
 [    0.54941     0.52369     0.11586     0.21077]
 [    0.94557     0.72106    0.051186    0.089824]
 [    0.77238     0.41347    0.081171    0.063828]
 [    0.37558     0.51365     0.21387     0.22784]
 [    0.12564     0.72212     0.24564     0.11248]
 [    0.77511     0.35756    0.067006    0.044678]]",[    0.65817     0.62251     0.58571     0.53151     0.50081     0.49679     0.41793]
21301027_18,"[[    0.85926     0.71621     0.22425     0.12737]
 [    0.51797      0.5123     0.38029     0.23661]
 [    0.38718     0.51446     0.38164     0.24031]]",[    0.84954     0.77462     0.47714]
21301027_21,"[[    0.42265     0.51089     0.37789     0.17478]
 [   0.083411     0.61477      0.1661    0.082175]]",[    0.85579     0.84702]
21301116_08,"[[    0.91844     0.44709     0.16313     0.17942]
 [    0.80699     0.84748    0.051413     0.25159]
 [     0.5849     0.42606     0.38386     0.39246]
 [    0.90159     0.59035     0.19681    0.054593]
 [    0.70986     0.71078    0.050678     0.12118]
 [   0.024166       0.524    0.048331       0.133]]",[    0.76042     0.75788     0.69994     0.61941     0.59185       0.511]
21301116_13,[[    0.39139     0.53554    0.083516    0.080817]],[    0.87572]
21301116_15,"[[    0.50113     0.53323     0.37025     0.29728]
 [    0.41952     0.48014     0.37669     0.14835]]",[    0.58909     0.48479]
21301116_26,"[[     0.4985     0.46069      0.1766     0.12359]
 [    0.29696     0.42578     0.22378     0.14821]
 [     0.6331     0.35785     0.15919     0.11391]]",[    0.85863     0.84505     0.69297]
21301138_28,"[[     0.7365     0.26792     0.38608       0.192]
 [    0.22572     0.26779     0.38261     0.20091]
 [    0.96391     0.72458    0.072182     0.24189]]",[    0.72588     0.71229     0.40007]
21301138_31,"[[    0.43544     0.24273      0.3515     0.23276]
 [    0.91903      0.6036     0.10832    0.073381]
 [    0.68211     0.47333     0.38802    0.094668]
 [    0.34244     0.46465     0.37407     0.13413]]",[    0.61702     0.55788     0.43722     0.43151]
21301326_16,"[[    0.75182     0.29579     0.10605     0.11343]
 [    0.46579     0.52371      0.3852     0.12262]
 [    0.76273     0.51248     0.35443     0.13149]
 [    0.86562     0.19451      0.2455    0.088452]]",[    0.72393     0.67154     0.57616     0.50408]
21301326_2284,"[[    0.23976     0.44812     0.24156     0.12544]
 [    0.65874     0.45935     0.23726     0.12648]
 [   0.052353     0.39931     0.10193    0.093102]
 [    0.49289     0.47693    0.087609    0.084597]
 [    0.92082     0.43599     0.10452    0.080019]
 [    0.30576     0.21914    0.056553    0.054772]]",[    0.86482      0.8364     0.82662     0.64415     0.62789     0.51294]
21301326_2285,"[[     0.5793     0.34904     0.15386    0.059188]
 [    0.76861     0.36584     0.05835      0.0543]
 [    0.47766    0.072727     0.16471     0.14062]
 [    0.45732     0.35388    0.085942    0.054445]]",[    0.73441      0.5783     0.49035     0.47796]
21301326_2306,"[[    0.21357     0.46207     0.17832     0.14412]
 [    0.62204     0.51113     0.23152     0.15925]
 [    0.63004     0.36554     0.24195     0.10807]
 [    0.40844     0.42826     0.15805     0.11865]
 [     0.4089     0.53269     0.15733    0.096091]
 [   0.093942     0.20767     0.18761    0.085567]]",[    0.88303     0.86919     0.85254     0.82956     0.82874     0.50692]
21301326_2308,"[[     0.5587     0.17161     0.25429    0.060952]
 [   0.075485     0.38827     0.15097    0.092617]
 [    0.27171     0.17483     0.16351    0.060726]
 [    0.25156     0.24236     0.10353    0.059867]
 [    0.13554     0.17121     0.10705    0.061208]
 [    0.82045      0.2408    0.097834    0.056196]
 [     0.4401     0.24285    0.096293    0.064406]
 [    0.83587     0.42618     0.12306    0.076334]
 [    0.87692     0.17973    0.069919    0.048788]
 [    0.76218     0.97458     0.07982    0.038924]
 [     0.6246      0.3708     0.13707     0.09121]
 [    0.40645     0.41465     0.17552    0.065143]
 [    0.79286      0.3427     0.07705    0.032237]]",[    0.89881     0.80049     0.79006     0.78549     0.76689     0.70382      0.6219     0.60279     0.55408     0.53208     0.43337     0.40275     0.39878]
21301326_2315,"[[     0.5555     0.51193     0.25555    0.090975]
 [    0.50531     0.70972     0.16416    0.061294]
 [    0.36187     0.52614     0.11457    0.066234]
 [    0.34573     0.72291     0.13282    0.082723]
 [    0.86259     0.35456     0.11259    0.040121]
 [    0.50681     0.35611     0.12843    0.042669]
 [    0.94336     0.66113     0.11328    0.061652]
 [    0.23665      0.6517     0.10369    0.059992]
 [    0.76456     0.53637     0.14945    0.045766]
 [    0.16292      0.3925     0.11881    0.045808]
 [    0.62866     0.65343    0.064406    0.058629]
 [    0.51033     0.65945     0.17668    0.047408]
 [    0.63396     0.70954    0.065429     0.05746]
 [    0.23057     0.71016     0.10326     0.05822]
 [    0.75945     0.70059     0.10046    0.063775]
 [    0.68892       0.355    0.053597    0.039911]
 [    0.92606      0.5386     0.14732    0.049568]
 [    0.77153     0.75204     0.10872    0.042804]
 [   0.061909     0.72147    0.065684    0.037669]
 [    0.24951     0.54457     0.10566    0.038429]
 [   0.032192     0.49399    0.064384    0.049541]]",[    0.87289     0.84926     0.84241     0.82177     0.80756      0.8053     0.75458     0.73847     0.72197     0.71884     0.66651      0.6593     0.62804     0.60645     0.59197      0.5859     0.58361     0.55115     0.49662     0.49359     0.43461]
21301326_2318,"[[     0.6221     0.33985     0.15064     0.11618]
 [    0.77303     0.33822      0.1297     0.10794]
 [    0.43149     0.43981     0.16348    0.045998]
 [    0.25425     0.45312      0.1746    0.049761]
 [   0.062431     0.39693     0.12486    0.090643]
 [    0.97679      0.3826    0.046413    0.093921]]",[    0.86726     0.78345     0.77787     0.70034     0.67269     0.66245]
21301326_25,"[[    0.77649     0.28477     0.37201    0.082533]
 [    0.80078      0.6217     0.39206    0.098455]
 [    0.36515     0.57318     0.38146     0.13899]
 [     0.0727     0.76334    0.099679    0.052969]
 [    0.89062     0.82657    0.079368    0.021592]]",[    0.90266     0.83188     0.81182      0.4512     0.42678]
21301589_03,"[[    0.54726      0.2775      0.3734       0.218]
 [    0.56116     0.43168     0.36075     0.10861]
 [    0.94591     0.16425     0.10819     0.19219]]",[    0.86513     0.72247     0.55811]
21301589_06,[[    0.58357     0.36191     0.35625     0.14934]],[    0.86897]
21301589_08,"[[   0.066801     0.43684      0.1336    0.083968]
 [    0.62215     0.26328     0.38687     0.29145]
 [    0.40285     0.87314     0.20144     0.22332]
 [    0.58755     0.46351     0.38636     0.10238]]",[    0.79234     0.78149     0.53695     0.45632]
21301589_20,"[[    0.90386     0.59483     0.19033    0.091623]
 [     0.4586     0.31995     0.33206     0.19281]
 [    0.68634     0.31881     0.12793     0.20456]]",[    0.80891     0.75921     0.66939]
2150,"[[     0.4722     0.49251     0.33122    0.074559]
 [    0.55098       0.594     0.16948     0.11246]
 [    0.10365     0.28613     0.20682    0.054603]
 [     0.3847     0.59272      0.1667     0.10365]
 [    0.47336     0.71303     0.35554    0.087037]
 [    0.73419     0.98283    0.079906    0.034341]]",[    0.81296     0.78372     0.78109     0.75044     0.73245     0.52742]
2151,"[[    0.79695     0.47407     0.17189    0.094225]
 [    0.67872     0.20213     0.27824    0.097593]
 [    0.55982     0.42985     0.23307     0.09194]
 [   0.047729     0.43649    0.095458     0.15924]
 [    0.82575     0.97526    0.081036    0.045511]
 [     0.9254     0.39824     0.11049    0.034809]]",[    0.87582     0.87054     0.82797     0.66855     0.59752     0.40816]
2171,"[[     0.7392     0.54092     0.13347    0.059068]
 [    0.33728      0.5454     0.29879    0.076407]
 [    0.52985     0.22343     0.35011     0.25057]
 [    0.20897     0.16029     0.29257      0.2717]
 [    0.64398     0.39171      0.2695     0.11087]
 [    0.22769      0.3328     0.21695     0.11266]
 [    0.06151      0.5834    0.066677     0.14101]
 [    0.85987     0.42895     0.15682    0.095909]]",[    0.82465     0.80188     0.75838     0.67495     0.53295     0.46172     0.39223     0.39073]
2177,"[[    0.42981     0.34886     0.25987    0.080806]
 [   0.042463     0.40464    0.084497    0.061299]
 [    0.87066     0.42764    0.046556    0.034607]
 [     0.5697     0.96126    0.082152      0.0435]
 [    0.96886     0.41659    0.061813    0.087573]]",[    0.83051     0.80279     0.55776     0.44236     0.39727]
2183,[[    0.47112     0.64733     0.16374    0.090796]],[     0.8875]
2185,"[[    0.50902     0.50575     0.25181    0.061653]
 [    0.76167     0.97438    0.079172    0.038015]
 [    0.10311     0.51395     0.12012    0.059391]
 [    0.77313     0.47812     0.11426    0.052158]
 [    0.22015     0.43937     0.15059    0.068844]
 [     0.5477     0.24167     0.23039     0.05713]
 [    0.57575     0.43717      0.1879    0.081307]]",[     0.8142     0.73556     0.72661     0.71205      0.7109     0.69057     0.62655]
2188,"[[    0.12591     0.42481     0.16843    0.044689]
 [    0.50711     0.29851     0.20361    0.063908]
 [    0.48967     0.19969     0.23687    0.056601]
 [    0.47734     0.24732    0.080401    0.041843]
 [    0.75084     0.98322    0.085291    0.033566]]",[    0.80966      0.7675     0.74441     0.62098     0.39746]
2195,"[[    0.76805     0.32987     0.31761    0.085146]
 [    0.39618     0.27391     0.18152    0.079501]
 [    0.17544     0.32739      0.1226    0.057973]
 [    0.55035     0.46929     0.10741    0.077259]
 [   0.072974     0.39021     0.14093    0.053852]
 [    0.41515     0.46701     0.11632    0.078263]
 [     0.2451     0.43431     0.12247    0.056064]
 [    0.10244     0.44219     0.05897    0.052502]
 [    0.40139    0.093814     0.17897    0.073398]
 [    0.81904     0.42591      0.1432     0.06776]
 [    0.97104      0.4795    0.057919    0.057833]
 [    0.15834      0.4355    0.051952    0.058844]
 [    0.83252     0.49244      0.2045    0.045555]
 [    0.03138     0.47548    0.062547    0.047388]
 [    0.25238     0.38377     0.06147    0.043088]
 [    0.66178     0.41933    0.088002    0.064998]]",[    0.86039     0.85259     0.83031      0.7834     0.78145     0.77124     0.75202     0.71524     0.71172     0.69412     0.62375     0.60613      0.4817     0.46355     0.45695     0.42479]
2201,"[[    0.45162     0.26654     0.14549    0.098255]
 [    0.24871     0.28659     0.13099    0.086644]
 [     0.7105      0.3162     0.29226    0.079441]
 [    0.94756     0.25368     0.10479    0.086033]
 [    0.14698     0.30499    0.069316    0.062028]
 [    0.34233     0.29119    0.056436    0.072118]
 [   0.088813     0.30322     0.05055    0.058514]
 [  0.0092132     0.31688    0.018358    0.053366]]",[     0.8749     0.87006      0.8529     0.77553     0.62578       0.537     0.49681     0.42408]
2209,"[[    0.47534     0.26688     0.21772     0.22392]
 [    0.21049     0.27447     0.31111     0.25167]
 [     0.7722     0.27061     0.38153     0.21889]]",[    0.77462     0.69542      0.4828]
22101861_06,"[[    0.49821     0.44121     0.38068     0.26271]
 [   0.077756     0.48045     0.15551     0.21894]]",[    0.79451     0.73265]
22101861_09,"[[    0.78468     0.45539     0.38667     0.14028]
 [    0.21569     0.47351     0.37048     0.14349]]",[    0.68154     0.58188]
22101861_26,"[[    0.77819     0.68268     0.38682     0.11882]
 [    0.74676     0.32298     0.38621     0.29514]
 [    0.25634     0.68099     0.38067     0.12552]]",[    0.64644     0.52948     0.45198]
22101861_29,"[[    0.69652     0.48516     0.24381     0.16636]
 [    0.32244     0.47658     0.35782     0.25078]
 [    0.36068     0.70515     0.32342     0.10097]]",[     0.7877     0.75895     0.60496]
22141027_07,"[[    0.32939      0.9335     0.12111    0.053477]
 [    0.51483      0.4488     0.38946      0.1294]]",[    0.77104     0.57046]
22141027_14,"[[    0.24124     0.51612     0.18598    0.098563]
 [    0.47598     0.50769     0.16597    0.090672]
 [    0.63999     0.50589     0.16717    0.093151]]",[    0.85782     0.85511     0.75842]
22141027_17,"[[    0.21926     0.45371      0.2774     0.16553]
 [    0.57058     0.50434     0.18456    0.086881]
 [    0.57543     0.58234     0.17389    0.038807]]",[    0.87401     0.83541     0.46645]
22141027_19,"[[    0.56749      0.5434     0.23338     0.10725]
 [    0.30519     0.47665     0.12561    0.066874]
 [    0.85669     0.58077     0.28663    0.038766]]",[    0.85567      0.6748     0.45443]
22141027_30,"[[    0.64227     0.44021     0.16499     0.13018]
 [    0.39201     0.47559     0.29894     0.15374]
 [    0.74468     0.94294     0.14271     0.11411]]",[    0.81122      0.5378     0.48059]
2237,"[[     0.3392     0.51076     0.14804    0.085341]
 [    0.50954     0.53096     0.18311     0.06801]
 [    0.57865     0.98025    0.085037    0.039505]
 [   0.085012     0.54012     0.14951    0.050432]]",[    0.82627     0.81189     0.51052     0.43129]
2238,"[[    0.49947      0.2902     0.21314    0.061016]
 [    0.57033     0.96133    0.081692    0.041151]]",[    0.85484     0.78625]
2239,"[[    0.49963      0.5167     0.38816    0.075215]
 [   0.054685     0.72762     0.10937    0.076147]
 [     0.5097     0.76154     0.32191    0.040755]
 [     0.9821       0.726    0.035807    0.075292]
 [    0.76276     0.97466    0.081525    0.038381]]",[    0.74577      0.6946     0.53937     0.48101      0.4265]
23241084_21,"[[    0.62337     0.40041     0.14574     0.08702]
 [     0.7977     0.48027     0.18275    0.071254]
 [    0.53612     0.16968     0.22713    0.080711]
 [    0.25021     0.31245     0.18912     0.20337]
 [    0.44975     0.47334     0.12478    0.047972]
 [    0.45016     0.41178     0.12899    0.084914]
 [    0.90992      0.4857    0.047279     0.07042]
 [      0.968     0.46176    0.063998     0.08255]]",[    0.86972     0.81802     0.80753     0.69567     0.67938     0.55605     0.43861     0.40769]
23241084_23,[[    0.38842     0.37886     0.36464     0.14235]],[    0.75634]
23241084_30,"[[    0.27481     0.62345     0.27221     0.14861]
 [    0.71895     0.24781    0.080574     0.13794]
 [    0.83447      0.2052     0.08596     0.13981]
 [    0.34731      0.1609     0.35707     0.20712]
 [    0.48088     0.19658      0.3847       0.215]]",[    0.69077     0.65748     0.58625     0.55271      0.5141]
23241084_53,"[[    0.29838     0.26962     0.35048     0.16126]
 [    0.59643     0.27961     0.25357     0.15534]
 [    0.79684     0.28227     0.34814     0.15797]
 [    0.24499     0.49571    0.070447    0.054867]]",[    0.83199      0.7183      0.6257     0.43664]
23241084_55,"[[    0.34375     0.48032     0.31512     0.11736]
 [    0.91012     0.47122     0.17611     0.10704]
 [    0.69385      0.5125     0.05451     0.06102]
 [   0.021807     0.46045    0.043613     0.11637]]",[    0.86251     0.78175     0.65407     0.44626]
23241084_58,[[    0.41913     0.57887     0.35728     0.30043]],[    0.58582]
